,player,AD,VI,Ø,club,fixture,time,date
0,Edson Álvarez,5.0,5.0,5,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
1,Antony,5.5,6.5,6,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
2,Steven Berghuis,5.5,5.5,5.5,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
3,Daley Blind,5.0,5.0,5,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
4,Danilo,---,---,---,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
5,Ryan Gravenberch,5.0,6.0,5.5,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
6,Sébastien Haller,5.5,6.0,5.75,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
7,Davy Klaassen,6.5,6.0,6.25,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
8,Lisandro Martínez,6.5,6.0,6.25,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
9,Remko Pasveer,6.5,5.5,6,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
10,Devyne Rensch,5.0,5.0,5,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
11,Perr Schuurs,6.5,7.0,6.75,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
12,Dušan Tadić,5.5,6.0,5.75,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
13,Jurriën Timber,6.0,6.5,6.25,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
14,Team Ø,5.69,5.85,,AFC Ajax,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
15,Zakaria Aboukhlal,---,---,---,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
16,Sam Beukema,---,---,---,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
17,Jordy Clasie,6.0,6.0,6,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
18,Dani de Wit,7.5,6.0,6.75,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
19,Albert Guðmundsson,---,---,---,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
20,Pantelis Hatzidiakos,6.5,6.0,6.25,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
21,Jesper Karlsson,6.5,6.0,6.25,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
22,Bruno Martins Indi,7.0,6.5,6.75,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
23,Fredrik Midtsjø,6.5,6.0,6.25,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
24,Vangelis Pavlidis,7.5,7.5,7.5,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
25,Tijjani Reijnders,---,---,---,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
26,Yukinari Sugawara,7.0,7.0,7,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
27,Peter Vindahl Jensen,7.5,7.5,7.5,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
28,Owen Wijndal,7.5,6.0,6.75,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
29,Aslak Witry,6.0,6.0,6,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
30,Team Ø,6.86,6.41,,AZ Alkmaar,AFC Ajax - AZ Alkmaar,16:45,12 December 2021
31,Edson Álvarez,8.0,7.5,7.75,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
32,Antony,7.0,8.0,7.5,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
33,Steven Berghuis,7.0,7.0,7,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
34,Daley Blind,6.0,7.5,6.75,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
35,Mohamed Daramy,---,---,---,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
36,David Neres,---,---,---,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
37,Ryan Gravenberch,6.5,7.5,7,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
38,Sébastien Haller,6.0,6.0,6,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
39,Davy Klaassen,---,---,---,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
40,Mohammed Kudus,---,---,---,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
41,Lisandro Martínez,7.5,8.0,7.75,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
42,Noussair Mazraoui,7.0,8.0,7.5,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
43,Remko Pasveer,6.5,7.0,6.75,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
44,Dušan Tadić,6.0,6.5,6.25,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
45,Nico Tagliafico,---,---,---,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
46,Jurriën Timber,7.0,7.5,7.25,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
47,Team Ø,6.77,7.32,,AFC Ajax,AFC Ajax - FC Groningen,18:45,25 September 2021
48,Paulos Abraham,5.0,5.0,5,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
49,Wessel Dammers,6.0,5.0,5.5,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
50,Damil Dankerlui,6.0,5.0,5.5,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
51,Michael de Leeuw,5.5,6.0,5.75,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
52,Mo el Hankouri,6.0,5.0,5.5,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
53,Daleho Irandust,---,---,---,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
54,Patrick Joosten,6.0,6.0,6,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
55,Yahya Kalley,6.0,5.0,5.5,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
56,Neraysho Kasanwirjo,6.0,5.5,5.75,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
57,Peter Leeuwenburgh,6.5,5.5,6,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
58,Bjorn Meijer,---,---,---,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
59,Cyril Ngonge,5.0,5.0,5,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
60,Romano Postema,5.5,5.5,5.5,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
61,Jørgen Strand Larsen,5.0,5.0,5,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
62,Tomáš Suslov,5.0,4.5,4.75,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
63,Marin Šverko,5.5,5.0,5.25,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
64,Team Ø,5.64,5.21,,FC Groningen,AFC Ajax - FC Groningen,18:45,25 September 2021
65,Edson Álvarez,6.5,6.5,6.5,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
66,Antony,6.5,5.5,6,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
67,Steven Berghuis,7.5,8.5,8,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
68,Daley Blind,6.5,7.0,6.75,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
69,Danilo,---,---,---,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
70,Ryan Gravenberch,---,---,---,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
71,Sébastien Haller,8.0,7.5,7.75,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
72,Davy Klaassen,7.0,7.0,7,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
73,Mohammed Kudus,---,---,---,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
74,Lisandro Martínez,8.0,7.5,7.75,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
75,Noussair Mazraoui,6.5,7.0,6.75,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
76,Remko Pasveer,6.5,6.0,6.25,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
77,Dušan Tadić,5.0,5.0,5,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
78,Nico Tagliafico,---,---,---,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
79,Jurriën Timber,7.5,7.5,7.5,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
80,Team Ø,6.86,6.82,,AFC Ajax,AFC Ajax - FC Twente,16:45,13 Februari 2022
81,Jesse Bosch,6.0,5.5,5.75,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
82,Max Bruns,---,---,---,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
83,Vaclav Černý,---,---,---,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
84,Denilho Cleonise,---,---,---,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
85,Mees Hilgers,5.5,4.5,5,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
86,Dimitris Limnios,6.0,4.5,5.25,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
87,Virgil Misidjan,---,---,---,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
88,Robin Pröpper,5.5,4.0,4.75,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
89,Daan Rots,6.0,5.5,5.75,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
90,Michal Sadílek,7.0,5.5,6.25,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
91,Gijs Smal,6.0,5.0,5.5,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
92,Giovanni Troupée,5.5,4.5,5,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
93,Lars Unnerstall,6.0,7.0,6.5,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
94,Ricky van Wolfswinkel,6.0,6.0,6,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
95,Michel Vlap,---,---,---,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
96,Ramiz Zerrouki,6.0,6.0,6,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
97,Team Ø,5.95,5.27,,FC Twente,AFC Ajax - FC Twente,16:45,13 Februari 2022
98,Edson Álvarez,6.0,6.5,6.25,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
99,Antony,5.5,6.5,6,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
100,Steven Berghuis,5.5,5.0,5.25,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
101,Daley Blind,6.0,6.5,6.25,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
102,Danilo,---,---,---,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
103,Mohamed Daramy,---,---,---,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
104,David Neres,5.0,6.0,5.5,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
105,Ryan Gravenberch,5.0,6.0,5.5,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
106,Sébastien Haller,5.0,4.5,4.75,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
107,Davy Klaassen,6.0,6.0,6,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
108,Lisandro Martínez,6.0,6.5,6.25,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
109,Noussair Mazraoui,5.5,7.0,6.25,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
110,Remko Pasveer,6.0,5.5,5.75,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
111,Dušan Tadić,5.5,6.0,5.75,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
112,Nico Tagliafico,6.0,6.5,6.25,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
113,Jurriën Timber,6.0,6.5,6.25,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
114,Team Ø,5.64,6.07,,AFC Ajax,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
115,Anastasios Douvikas,6.5,6.5,6.5,FC Utrecht,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
116,Willem Janssen,6.0,6.0,6,FC Utrecht,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
117,Adam Maher,6.0,5.5,5.75,FC Utrecht,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
118,Mimoun Mahi,---,---,---,FC Utrecht,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
119,Maarten Paes,8.0,8.0,8,FC Utrecht,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
120,Bart Ramselaar,6.5,6.0,6.25,FC Utrecht,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
121,Moussa Sylla,5.0,6.0,5.5,FC Utrecht,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
122,Hidde ter Avest,---,---,---,FC Utrecht,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
123,Quinten Timber,---,---,---,FC Utrecht,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
124,Sander van de Streek,5.5,5.0,5.25,FC Utrecht,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
125,Mike van der Hoorn,6.5,6.5,6.5,FC Utrecht,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
126,Mark van der Maarel,6.5,6.5,6.5,FC Utrecht,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
127,Joris van Overeem,6.5,6.5,6.5,FC Utrecht,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
128,Django Warmerdam,7.5,7.5,7.5,FC Utrecht,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
129,Team Ø,6.41,6.36,,FC Utrecht,AFC Ajax - FC Utrecht,14:30,3 Oktober 2021
130,Antony,7.0,8.0,7.5,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
131,Steven Berghuis,5.5,5.5,5.5,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
132,Daley Blind,7.0,7.5,7.25,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
133,Mohamed Daramy,---,---,---,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
134,David Neres,---,---,---,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
135,Ryan Gravenberch,5.5,6.5,6,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
136,Sébastien Haller,5.0,6.5,5.75,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
137,Davy Klaassen,6.0,6.0,6,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
138,Remko Pasveer,6.0,6.5,6.25,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
139,Devyne Rensch,6.0,7.5,6.75,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
140,Perr Schuurs,6.5,7.5,7,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
141,Dušan Tadić,6.0,7.0,6.5,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
142,Nico Tagliafico,6.0,6.5,6.25,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
143,Kenneth Taylor,---,---,---,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
144,Jurriën Timber,6.0,7.5,6.75,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
145,Team Ø,6.04,6.88,,AFC Ajax,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
146,Martin Angha,6.0,5.5,5.75,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
147,George Cox,5.5,5.5,5.5,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
148,Deroy Duarte,5.5,5.0,5.25,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
149,Arianit Ferati,6.0,5.0,5.5,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
150,Zian Flemming,6.5,5.5,6,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
151,Ivo Pinto,5.5,6.0,5.75,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
152,Roel Janssen,5.0,4.5,4.75,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
153,Nigel Lonwijk,---,---,---,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
154,Richie Musaba,---,---,---,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
155,Tijjani Noslin,---,---,---,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
156,Ben Rienstra,6.0,5.5,5.75,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
157,Andreas Samaris,5.5,6.0,5.75,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
158,Mats Seuntjens,6.0,6.0,6,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
159,Mickaël Tirpan,5.0,5.0,5,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
160,Yanick van Osch,6.0,5.5,5.75,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
161,Team Ø,5.71,5.42,,Fortuna Sittard,AFC Ajax - Fortuna Sittard,21:00,22 December 2021
162,Edson Álvarez,6.0,5.0,5.5,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
163,Antony,6.0,5.0,5.5,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
164,Daley Blind,5.5,6.0,5.75,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
165,Danilo,---,---,---,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
166,Mohamed Daramy,---,---,---,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
167,David Neres,---,---,---,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
168,Ryan Gravenberch,---,---,---,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
169,Sébastien Haller,5.5,4.5,5,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
170,Davy Klaassen,6.0,5.5,5.75,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
171,Mohammed Kudus,5.5,5.0,5.25,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
172,Lisandro Martínez,6.5,6.0,6.25,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
173,Noussair Mazraoui,6.0,6.0,6,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
174,Remko Pasveer,6.0,7.0,6.5,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
175,Perr Schuurs,---,---,---,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
176,Dušan Tadić,6.0,5.0,5.5,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
177,Jurriën Timber,6.5,6.0,6.25,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
178,Team Ø,5.95,5.55,,AFC Ajax,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
179,Giannis Botos,6.0,6.5,6.25,Go Ahead Eagles,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
180,Luuk Brouwers,7.0,6.5,6.75,Go Ahead Eagles,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
181,Córdoba,6.5,6.5,6.5,Go Ahead Eagles,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
182,Mats Deijl,6.5,7.0,6.75,Go Ahead Eagles,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
183,Warner Hahn,8.0,7.0,7.5,Go Ahead Eagles,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
184,Joris Kramer,8.0,7.5,7.75,Go Ahead Eagles,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
185,Bas Kuipers,7.5,7.0,7.25,Go Ahead Eagles,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
186,Isac Lidberg,---,---,---,Go Ahead Eagles,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
187,Boyd Lucassen,7.5,7.0,7.25,Go Ahead Eagles,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
188,Marc Cardona,---,---,---,Go Ahead Eagles,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
189,Gerrit Nauber,7.0,7.5,7.25,Go Ahead Eagles,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
190,Ragnar Oratmangoen,6.5,6.0,6.25,Go Ahead Eagles,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
191,Philippe Rommens,7.0,6.0,6.5,Go Ahead Eagles,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
192,Team Ø,7.05,6.77,,Go Ahead Eagles,AFC Ajax - Go Ahead Eagles,20:00,7 November 2021
193,Edson Álvarez,7.0,7.5,7.25,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
194,Antony,6.0,6.5,6.25,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
195,Steven Berghuis,7.0,7.5,7.25,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
196,Daley Blind,6.0,7.0,6.5,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
197,Danilo,---,---,---,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
198,Sébastien Haller,6.0,7.0,6.5,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
199,Davy Klaassen,6.5,8.0,7.25,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
200,Lisandro Martínez,6.0,7.0,6.5,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
201,Noussair Mazraoui,6.5,7.5,7,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
202,Remko Pasveer,6.5,6.5,6.5,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
203,Devyne Rensch,---,---,---,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
204,Perr Schuurs,---,---,---,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
205,Dušan Tadić,6.5,6.0,6.25,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
206,Nico Tagliafico,---,---,---,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
207,Kenneth Taylor,---,---,---,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
208,Jurriën Timber,6.5,7.0,6.75,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
209,Team Ø,6.41,7.05,,AFC Ajax,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
210,Navajo Bakboord,6.0,5.5,5.75,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
211,Sinan Bakış,---,5.5,5.5,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
212,Bilal Başaçıkoğlu,5.5,5.0,5.25,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
213,Janis Blaswich,7.0,7.0,7,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
214,Luca de la Torre,4.0,5.0,4.5,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
215,Noah Fadiga,---,---,---,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
216,Orestis Kiomourtzoglou,5.0,5.0,5,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
217,Mats Knoester,6.0,5.5,5.75,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
218,Nikolai Laursen,5.0,5.5,5.25,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
219,Giacomo Quagliata,6.0,6.0,6,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
220,Marco Rente,5.5,4.5,5,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
221,Lucas Schoofs,5.0,6.0,5.5,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
222,Kaj Sierhuis,6.0,5.5,5.75,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
223,Elias Sierra,---,---,---,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
224,Sven Sonnenberg,---,---,---,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
225,Adrian Szöke,---,---,---,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
226,Team Ø,5.55,5.5,,Heracles Almelo,AFC Ajax - Heracles Almelo,16:45,6 Februari 2022
227,Edson Álvarez,7.0,7.0,7,AFC Ajax,AFC Ajax - NEC Nijmegen,21:00,14 Augustus 2021
228,Steven Berghuis,7.0,7.0,7,AFC Ajax,AFC Ajax - NEC Nijmegen,21:00,14 Augustus 2021
229,Daley Blind,6.5,8.0,7.25,AFC Ajax,AFC Ajax - NEC Nijmegen,21:00,14 Augustus 2021
230,David Neres,5.5,6.0,5.75,AFC Ajax,AFC Ajax - NEC Nijmegen,21:00,14 Augustus 2021
231,Ryan Gravenberch,7.0,7.5,7.25,AFC Ajax,AFC Ajax - NEC Nijmegen,21:00,14 Augustus 2021
232,Sébastien Haller,6.5,6.5,6.5,AFC Ajax,AFC Ajax - NEC Nijmegen,21:00,14 Augustus 2021
233,Victor Jensen,---,---,---,AFC Ajax,AFC Ajax - NEC Nijmegen,21:00,14 Augustus 2021
234,Davy Klaassen,6.0,6.0,6,AFC Ajax,AFC Ajax - NEC Nijmegen,21:00,14 Augustus 2021
235,Zakaria Labyad,---,---,---,AFC Ajax,AFC Ajax - NEC Nijmegen,21:00,14 Augustus 2021
236,Lisandro Martínez,6.5,6.5,6.5,AFC Ajax,AFC Ajax - NEC Nijmegen,21:00,14 Augustus 2021
237,Noussair Mazraoui,7.5,8.0,7.75,AFC Ajax,AFC Ajax - NEC Nijmegen,21:00,14 Augustus 2021
238,Devyne Rensch,6.0,6.5,6.25,AFC Ajax,AFC Ajax - NEC Nijmegen,21:00,14 Augustus 2021
