player,AD,VI,Ø,club,home,away,time,date,hashtag
Edson Álvarez,5.0,5.0,5,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Antony,5.5,6.5,6,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Steven Berghuis,5.5,5.5,5.5,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Daley Blind,5.0,5.0,5,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Danilo,---,---,---,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Ryan Gravenberch,5.0,6.0,5.5,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Sébastien Haller,5.5,6.0,5.75,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Davy Klaassen,6.5,6.0,6.25,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Lisandro Martínez,6.5,6.0,6.25,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Remko Pasveer,6.5,5.5,6,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Devyne Rensch,5.0,5.0,5,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Perr Schuurs,6.5,7.0,6.75,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Dušan Tadić,5.5,6.0,5.75,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Jurriën Timber,6.0,6.5,6.25,AFC Ajax,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Zakaria Aboukhlal,---,---,---,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Sam Beukema,---,---,---,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Jordy Clasie,6.0,6.0,6,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Dani de Wit,7.5,6.0,6.75,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Albert Guðmundsson,---,---,---,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Pantelis Hatzidiakos,6.5,6.0,6.25,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Jesper Karlsson,6.5,6.0,6.25,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Bruno Martins Indi,7.0,6.5,6.75,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Fredrik Midtsjø,6.5,6.0,6.25,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Vangelis Pavlidis,7.5,7.5,7.5,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Tijjani Reijnders,---,---,---,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Yukinari Sugawara,7.0,7.0,7,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Peter Vindahl Jensen,7.5,7.5,7.5,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Owen Wijndal,7.5,6.0,6.75,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Aslak Witry,6.0,6.0,6,AZ Alkmaar,AFC Ajax,AZ Alkmaar,16:45,2021-12-12,ajaaz
Edson Álvarez,8.0,7.5,7.75,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Antony,7.0,8.0,7.5,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Steven Berghuis,7.0,7.0,7,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Daley Blind,6.0,7.5,6.75,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Mohamed Daramy,---,---,---,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
David Neres,---,---,---,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Ryan Gravenberch,6.5,7.5,7,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Sébastien Haller,6.0,6.0,6,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Davy Klaassen,---,---,---,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Mohammed Kudus,---,---,---,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Lisandro Martínez,7.5,8.0,7.75,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Noussair Mazraoui,7.0,8.0,7.5,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Remko Pasveer,6.5,7.0,6.75,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Dušan Tadić,6.0,6.5,6.25,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Nico Tagliafico,---,---,---,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Jurriën Timber,7.0,7.5,7.25,AFC Ajax,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Paulos Abraham,5.0,5.0,5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Wessel Dammers,6.0,5.0,5.5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Damil Dankerlui,6.0,5.0,5.5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Michael de Leeuw,5.5,6.0,5.75,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Mo el Hankouri,6.0,5.0,5.5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Daleho Irandust,---,---,---,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Patrick Joosten,6.0,6.0,6,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Yahya Kalley,6.0,5.0,5.5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Neraysho Kasanwirjo,6.0,5.5,5.75,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Peter Leeuwenburgh,6.5,5.5,6,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Bjorn Meijer,---,---,---,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Cyril Ngonge,5.0,5.0,5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Romano Postema,5.5,5.5,5.5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Jørgen Strand Larsen,5.0,5.0,5,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Tomáš Suslov,5.0,4.5,4.75,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Marin Šverko,5.5,5.0,5.25,FC Groningen,AFC Ajax,FC Groningen,18:45,2021-09-25,ajagro
Edson Álvarez,6.5,6.5,6.5,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Antony,6.5,5.5,6,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Steven Berghuis,7.5,8.5,8,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Daley Blind,6.5,7.0,6.75,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Danilo,---,---,---,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Ryan Gravenberch,---,---,---,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Sébastien Haller,8.0,7.5,7.75,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Davy Klaassen,7.0,7.0,7,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Mohammed Kudus,---,---,---,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Lisandro Martínez,8.0,7.5,7.75,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Noussair Mazraoui,6.5,7.0,6.75,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Remko Pasveer,6.5,6.0,6.25,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Dušan Tadić,5.0,5.0,5,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Nico Tagliafico,---,---,---,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Jurriën Timber,7.5,7.5,7.5,AFC Ajax,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Jesse Bosch,6.0,5.5,5.75,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Max Bruns,---,---,---,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Vaclav Černý,---,---,---,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Denilho Cleonise,---,---,---,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Mees Hilgers,5.5,4.5,5,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Dimitris Limnios,6.0,4.5,5.25,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Virgil Misidjan,---,---,---,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Robin Pröpper,5.5,4.0,4.75,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Daan Rots,6.0,5.5,5.75,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Michal Sadílek,7.0,5.5,6.25,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Gijs Smal,6.0,5.0,5.5,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Giovanni Troupée,5.5,4.5,5,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Lars Unnerstall,6.0,7.0,6.5,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Ricky van Wolfswinkel,6.0,6.0,6,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Michel Vlap,---,---,---,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Ramiz Zerrouki,6.0,6.0,6,FC Twente,AFC Ajax,FC Twente,16:45,2022-02-13,ajatwe
Edson Álvarez,6.0,6.5,6.25,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Antony,5.5,6.5,6,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Steven Berghuis,5.5,5.0,5.25,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Daley Blind,6.0,6.5,6.25,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Danilo,---,---,---,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Mohamed Daramy,---,---,---,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
David Neres,5.0,6.0,5.5,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Ryan Gravenberch,5.0,6.0,5.5,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Sébastien Haller,5.0,4.5,4.75,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Davy Klaassen,6.0,6.0,6,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Lisandro Martínez,6.0,6.5,6.25,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Noussair Mazraoui,5.5,7.0,6.25,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Remko Pasveer,6.0,5.5,5.75,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Dušan Tadić,5.5,6.0,5.75,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Nico Tagliafico,6.0,6.5,6.25,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Jurriën Timber,6.0,6.5,6.25,AFC Ajax,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Anastasios Douvikas,6.5,6.5,6.5,FC Utrecht,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Willem Janssen,6.0,6.0,6,FC Utrecht,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Adam Maher,6.0,5.5,5.75,FC Utrecht,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Mimoun Mahi,---,---,---,FC Utrecht,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Maarten Paes,8.0,8.0,8,FC Utrecht,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Bart Ramselaar,6.5,6.0,6.25,FC Utrecht,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Moussa Sylla,5.0,6.0,5.5,FC Utrecht,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Hidde ter Avest,---,---,---,FC Utrecht,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Quinten Timber,---,---,---,FC Utrecht,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Sander van de Streek,5.5,5.0,5.25,FC Utrecht,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Mike van der Hoorn,6.5,6.5,6.5,FC Utrecht,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Mark van der Maarel,6.5,6.5,6.5,FC Utrecht,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Joris van Overeem,6.5,6.5,6.5,FC Utrecht,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Django Warmerdam,7.5,7.5,7.5,FC Utrecht,AFC Ajax,FC Utrecht,14:30,2021-10-03,ajautr
Antony,7.0,8.0,7.5,AFC Ajax,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Steven Berghuis,5.5,5.5,5.5,AFC Ajax,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Daley Blind,7.0,7.5,7.25,AFC Ajax,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Mohamed Daramy,---,---,---,AFC Ajax,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
David Neres,---,---,---,AFC Ajax,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Ryan Gravenberch,5.5,6.5,6,AFC Ajax,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Sébastien Haller,5.0,6.5,5.75,AFC Ajax,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Davy Klaassen,6.0,6.0,6,AFC Ajax,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Remko Pasveer,6.0,6.5,6.25,AFC Ajax,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Devyne Rensch,6.0,7.5,6.75,AFC Ajax,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Perr Schuurs,6.5,7.5,7,AFC Ajax,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Dušan Tadić,6.0,7.0,6.5,AFC Ajax,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Nico Tagliafico,6.0,6.5,6.25,AFC Ajax,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Kenneth Taylor,---,---,---,AFC Ajax,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Jurriën Timber,6.0,7.5,6.75,AFC Ajax,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Martin Angha,6.0,5.5,5.75,Fortuna Sittard,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
George Cox,5.5,5.5,5.5,Fortuna Sittard,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Deroy Duarte,5.5,5.0,5.25,Fortuna Sittard,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Arianit Ferati,6.0,5.0,5.5,Fortuna Sittard,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Zian Flemming,6.5,5.5,6,Fortuna Sittard,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Ivo Pinto,5.5,6.0,5.75,Fortuna Sittard,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Roel Janssen,5.0,4.5,4.75,Fortuna Sittard,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Nigel Lonwijk,---,---,---,Fortuna Sittard,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Richie Musaba,---,---,---,Fortuna Sittard,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Tijjani Noslin,---,---,---,Fortuna Sittard,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Ben Rienstra,6.0,5.5,5.75,Fortuna Sittard,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Andreas Samaris,5.5,6.0,5.75,Fortuna Sittard,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Mats Seuntjens,6.0,6.0,6,Fortuna Sittard,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Mickaël Tirpan,5.0,5.0,5,Fortuna Sittard,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Yanick van Osch,6.0,5.5,5.75,Fortuna Sittard,AFC Ajax,Fortuna Sittard,21:00,2021-12-22,ajafor
Edson Álvarez,6.0,5.0,5.5,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Antony,6.0,5.0,5.5,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Daley Blind,5.5,6.0,5.75,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Danilo,---,---,---,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Mohamed Daramy,---,---,---,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
David Neres,---,---,---,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Ryan Gravenberch,---,---,---,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Sébastien Haller,5.5,4.5,5,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Davy Klaassen,6.0,5.5,5.75,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Mohammed Kudus,5.5,5.0,5.25,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Lisandro Martínez,6.5,6.0,6.25,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Noussair Mazraoui,6.0,6.0,6,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Remko Pasveer,6.0,7.0,6.5,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Perr Schuurs,---,---,---,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Dušan Tadić,6.0,5.0,5.5,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Jurriën Timber,6.5,6.0,6.25,AFC Ajax,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Giannis Botos,6.0,6.5,6.25,Go Ahead Eagles,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Luuk Brouwers,7.0,6.5,6.75,Go Ahead Eagles,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Córdoba,6.5,6.5,6.5,Go Ahead Eagles,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Mats Deijl,6.5,7.0,6.75,Go Ahead Eagles,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Warner Hahn,8.0,7.0,7.5,Go Ahead Eagles,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Joris Kramer,8.0,7.5,7.75,Go Ahead Eagles,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Bas Kuipers,7.5,7.0,7.25,Go Ahead Eagles,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Isac Lidberg,---,---,---,Go Ahead Eagles,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Boyd Lucassen,7.5,7.0,7.25,Go Ahead Eagles,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Marc Cardona,---,---,---,Go Ahead Eagles,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Gerrit Nauber,7.0,7.5,7.25,Go Ahead Eagles,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Ragnar Oratmangoen,6.5,6.0,6.25,Go Ahead Eagles,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Philippe Rommens,7.0,6.0,6.5,Go Ahead Eagles,AFC Ajax,Go Ahead Eagles,20:00,2021-11-07,ajagae
Edson Álvarez,7.0,7.5,7.25,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Antony,6.0,6.5,6.25,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Steven Berghuis,7.0,7.5,7.25,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Daley Blind,6.0,7.0,6.5,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Danilo,---,---,---,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Sébastien Haller,6.0,7.0,6.5,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Davy Klaassen,6.5,8.0,7.25,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Lisandro Martínez,6.0,7.0,6.5,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Noussair Mazraoui,6.5,7.5,7,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Remko Pasveer,6.5,6.5,6.5,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Devyne Rensch,---,---,---,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Perr Schuurs,---,---,---,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Dušan Tadić,6.5,6.0,6.25,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Nico Tagliafico,---,---,---,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Kenneth Taylor,---,---,---,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Jurriën Timber,6.5,7.0,6.75,AFC Ajax,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Navajo Bakboord,6.0,5.5,5.75,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Sinan Bakış,---,5.5,5.5,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Bilal Başaçıkoğlu,5.5,5.0,5.25,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Janis Blaswich,7.0,7.0,7,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Luca de la Torre,4.0,5.0,4.5,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Noah Fadiga,---,---,---,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Orestis Kiomourtzoglou,5.0,5.0,5,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Mats Knoester,6.0,5.5,5.75,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Nikolai Laursen,5.0,5.5,5.25,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Giacomo Quagliata,6.0,6.0,6,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Marco Rente,5.5,4.5,5,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Lucas Schoofs,5.0,6.0,5.5,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Kaj Sierhuis,6.0,5.5,5.75,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Elias Sierra,---,---,---,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Sven Sonnenberg,---,---,---,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Adrian Szöke,---,---,---,Heracles Almelo,AFC Ajax,Heracles Almelo,16:45,2022-02-06,ajaher
Edson Álvarez,7.0,7.0,7,AFC Ajax,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
Steven Berghuis,7.0,7.0,7,AFC Ajax,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
Daley Blind,6.5,8.0,7.25,AFC Ajax,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
David Neres,5.5,6.0,5.75,AFC Ajax,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
Ryan Gravenberch,7.0,7.5,7.25,AFC Ajax,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
Sébastien Haller,6.5,6.5,6.5,AFC Ajax,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
Victor Jensen,---,---,---,AFC Ajax,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
Davy Klaassen,6.0,6.0,6,AFC Ajax,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
Zakaria Labyad,---,---,---,AFC Ajax,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
Lisandro Martínez,6.5,6.5,6.5,AFC Ajax,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
Noussair Mazraoui,7.5,8.0,7.75,AFC Ajax,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
Devyne Rensch,6.0,6.5,6.25,AFC Ajax,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
Maarten Stekelenburg,6.0,6.5,6.25,AFC Ajax,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
Dušan Tadić,7.5,8.5,8,AFC Ajax,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
Jurriën Timber,7.0,7.0,7,AFC Ajax,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
Ali Akman,---,---,---,NEC Nijmegen,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
Édgar Barreto,6.0,6.5,6.25,NEC Nijmegen,AFC Ajax,NEC Nijmegen,21:00,2021-08-14,ajanec
